端口,主模块,子模块,功能描述
用户端,订单中心,订单详情,操作按钮：根据状态显示（如待支付→去支付、租赁中→续租 / 归还申请）。
用户端,订单中心,支付/退款,支付：待支付订单支持再次支付，支付超时自动取消；
用户端,订单中心,支付/退款,退款：
用户端,订单中心,支付/退款,租赁订单：未取琴可申请全额退款（租金 + 押金），取琴后仅退还押金（扣除租金 / 滞纳金）；
用户端,订单中心,支付/退款,维修订单：未开始维修可申请全额退款，维修中按已完成工序扣费；
用户端,订单中心,支付/退款,退款流程：用户提交申请→管理员审核→审核通过后原路退回（微信支付原路返还，1-3 个工作日）；
用户端,订单中心,支付/退款,退款进度：实时显示审核状态、退款到账状态。
用户端,个人中心,个人信息,展示头像、昵称、手机号、会员等级；
用户端,个人中心,个人信息,支持修改头像、昵称。
用户端,个人中心,地址管理,地址列表：展示收货人、手机号、详细地址、是否默认；
用户端,个人中心,地址管理,操作：新增、编辑、删除地址，设置默认地址；
用户端,个人中心,地址管理,地址验证：自动识别省市区，支持搜索地址。
用户端,个人中心,押金管理,押金明细：展示未退还 / 已退还押金，对应订单号、金额、退还时间；
用户端,个人中心,押金管理,退还申请：租赁完成且无损坏，可发起押金退还申请（管理员审核后退还）。
用户端,个人中心,客服功能,在线客服：跳转微信客服（企业微信 / 小程序客服）；
用户端,个人中心,客服功能,电话客服：展示商家联系电话，支持一键拨打；
用户端,个人中心,客服功能,常见问题：FAQ 列表（如押金退还规则、维修流程）。
用户端,个人中心,公告中心,展示商家发布的公告（如活动、维修调价、门店调整）；
用户端,个人中心,公告中心,公告分类：全部、租赁相关、维修相关、系统通知；
用户端,个人中心,公告中心,已读 / 未读标记，支持删除已读公告。
用户端,个人中心,其他功能,我的收藏：收藏乐器、维修套餐；
用户端,个人中心,其他功能,意见反馈：填写反馈内容 + 图片，提交后管理员可回复；
用户端,个人中心,其他功能,设置：消息通知开关（订单、公告、提醒）、清理缓存、关于我们。
用户端,个人中心,其他功能,邀请码：生成专属邀请码，通过该会员分享的邀请码注册的会员产生消费，给邀请者积分奖励。
管理后台,入驻申请【前端】,选择商家类型,个人商家：需提供个人身份证相关信息；企业商家：需提供营业执照、法人相关信息；选择后不可修改，需谨慎选择。
管理后台,入驻申请【前端】,基础信息填写,商家基本信息：商家名称（需与资质文件一致）、联系人、联系电话（需验证码验证）、联系邮箱；② 经营信息：主营乐器类型（可多选，如钢琴、吉他）、经营模式（租赁/维修/两者皆有）、门店地址（精确到门牌号，支持地图定位）、营业时间；③ 登录信息：设置商家后台登录账号（手机号/自定义账号）、登录密码（需确认，密码强度校验）。
管理后台,入驻申请【前端】,资质材料上传,个人商家：身份证正反面照片（清晰可辨，无遮挡）、手持身份证照片（本人出镜，无遮挡）、银行卡照片（需与身份证姓名一致，支持储蓄卡）；• 企业商家：营业执照照片（加盖公章，清晰可辨）、法人身份证正反面照片、银行对公账户信息（开户行、账号、账户名称）、行业相关资质（如乐器维修资质，可选）；• 材料要求：支持JPG/PNG格式，单张图片不超过5M，可预览、重新上传，标注“必填”“可选”。
管理后台,入驻申请【前端】,协议签署,展示《商家入驻协议》《平台服务协议》《佣金结算协议》，商家需勾选“已阅读并同意所有协议”，方可提交申请；协议内容可点击查看详情，支持保存、分享。
管理后台,入驻申请【前端】,申请提交与进度查询,提交申请：确认所有信息无误后，提交入驻申请，系统生成申请编号（可用于查询进度）；• 进度查询：在“商家入驻-进度查询”中，查看当前审核状态（待审核/审核中/审核通过/审核驳回）；• 消息提醒：审核状态变更时，通过小程序消息推送提醒商家（如“您的入驻申请已审核通过，请登录商家后台完善信息”）。
管理后台,后台管理,商家登录与个人中心,登录：使用平台方分配的账号密码登录，支持验证码登录、密码重置（通过绑定手机号），登录日志记录登录时间、IP、设备；
管理后台,后台管理,商家登录与个人中心,个人中心：展示商家信息（名称、等级、佣金比例、押金状态）、账号信息，支持修改联系人、联系电话、邮箱，修改登录密码，查看入驻协议、佣金规则；
管理后台,后台管理,商家登录与个人中心,消息通知：接收平台方推送的通知（如审核提醒、违规提醒、结算提醒）、用户订单通知（如租赁下单、维修预约）。
管理后台,后台管理,自身乐器管理,乐器分类：仅可管理自身主营的乐器分类（需平台方审核通过），新增/编辑/删除自身分类（不可新增平台未开放的分类）；
管理后台,后台管理,自身乐器管理,乐器信息管理：新增/编辑/删除自身的乐器，上传乐器图片、视频，设置乐器规格、租金、押金（租金/押金需在平台方设定的区间内，超出需平台审核），管理乐器库存（租赁后扣减，归还后增加），手动上下架乐器；
管理后台,后台管理,自身乐器管理,乐器评价管理：查看用户对自身乐器的评价，回复评价（支持文字回复），处理负面评价（如用户投诉乐器质量，可备注处理情况）。
管理后台,后台管理,自身订单管理,租赁订单：查看自身的所有租赁订单，筛选条件（订单号、用户手机号、订单状态），操作订单（确认取琴、处理续租/归还申请、计算逾期滞纳金、退还押金），添加订单备注，导出自身订单列表；
管理后台,后台管理,自身订单管理,维修订单：查看自身的所有维修订单，操作订单（接单、更新维修进度、提交报价、确认完工、安排归还），查看用户提交的故障描述和图片，添加维修备注；
管理后台,后台管理,自身订单管理,订单统计：查看自身的订单数据（今日/本月订单数、交易额、租金/维修费收入），支持按时间、订单类型筛选，生成简单报表。
管理后台,后台管理,自身维修套餐管理,套餐管理：新增/编辑/删除自身的维修/保养套餐，设置套餐名称、价格、服务内容、适用乐器（需在自身主营范围内），上下架套餐；
管理后台,后台管理,自身维修套餐管理,报价管理：接收用户自定义维修预约，提交报价（报价需在平台方设定的合理区间内），查看用户报价确认状态，处理报价拒绝情况。
管理后台,后台管理,财务与结算管理,佣金明细：查看自身的佣金明细（订单号、佣金金额、结算状态、结算时间），导出佣金明细；
管理后台,后台管理,财务与结算管理,结算管理：查看结算单（未结算/已结算），确认结算金额，查看打款记录，提交提前结算申请（需平台方审核）；
管理后台,后台管理,财务与结算管理,押金管理：查看自身押金金额、缴纳状态、退还进度，提交押金退还申请（需满足注销条件）。
管理后台,后台管理,店铺配置,店铺信息：完善自身店铺信息（门店地址、营业时间、联系电话、店铺简介），上传店铺头像、封面图；
管理后台,后台管理,店铺配置,消息设置：设置自身订单消息的推送方式（短信/平台消息），开启/关闭提醒；
管理后台,后台管理,店铺配置,违规与申诉：查看自身的违规记录，针对违规记录提交申诉（填写申诉理由、上传证明材料），查看申诉结果。
管理后台,管理员管理,管理员登录,账号密码登录，支持验证码（图片 / 短信）；
管理后台,管理员管理,管理员登录,登录日志：记录登录账号、时间、IP、设备，支持异常登录提醒；
管理后台,管理员管理,管理员登录,密码找回：通过绑定手机号验证码重置。
管理后台,管理员管理,权限管理,角色管理：超级管理员、订单管理员、乐器管理员、用户管理员、财务管理员等；
管理后台,管理员管理,权限管理,权限分配：按角色分配功能权限（如订单管理员仅可操作订单，不可修改乐器信息）；
管理后台,管理员管理,权限管理,账号管理：新增 / 编辑 / 禁用管理员账号，绑定角色，修改密码。
管理后台,乐器管理,乐器分类管理,新增 / 编辑 / 删除一级 / 二级分类，设置分类名称、排序、是否显示；
管理后台,乐器管理,乐器分类管理,分类图标：上传分类图标，展示在小程序分类页。
管理后台,乐器管理,乐器信息管理,增删改查：新增乐器（填写基础信息、上传图片 / 视频、设置规格 / 租金 / 押金）、编辑、删除、批量操作；
管理后台,乐器管理,乐器信息管理,库存管理：设置可租赁数量，实时更新（租赁后扣减，归还后增加）；
管理后台,乐器管理,乐器信息管理,上下架：手动上下架乐器，下架后小程序不展示；
管理后台,乐器管理,乐器信息管理,批量操作：批量上下架、批量修改租金 / 押金、批量删除；
管理后台,乐器管理,乐器信息管理,导入导出：支持 Excel 导入乐器信息，导出乐器列表。
管理后台,乐器管理,乐器规格管理,新增规格：如钢琴尺寸（120cm/125cm）、吉他品牌（雅马哈 / 卡马）；
管理后台,乐器管理,乐器规格管理,规格关联：不同规格对应不同租金、押金、库存；
管理后台,乐器管理,乐器规格管理,价格规则：设置日租 / 周租 / 月租的计算规则（如周租 = 日租 ×6）。
管理后台,租赁订单管理,订单列表,展示所有租赁订单，筛选条件：订单号、用户手机号、订单状态、下单时间、乐器类型；
管理后台,租赁订单管理,订单列表,订单信息：订单号、用户信息、乐器信息、租期、金额、支付状态、配送方式、创建时间；
管理后台,租赁订单管理,订单列表,批量操作：批量导出、批量修改状态、批量取消订单。
管理后台,租赁订单管理,订单操作,待支付：取消订单（超时自动取消）、提醒支付；
管理后台,租赁订单管理,订单操作,待取琴：确认取琴（记录取琴时间、取琴人）、修改配送 / 自取信息；
管理后台,租赁订单管理,订单操作,租赁中：处理续租申请（审核通过 / 拒绝）、处理归还申请、设置逾期计费（手动 / 自动）；
管理后台,租赁订单管理,订单操作,待归还：确认归还（记录归还时间、乐器状态、是否损坏）、扣除滞纳金（如有）；
管理后台,租赁订单管理,订单操作,已完成：退还押金（审核通过后发起退款，记录退款金额、时间）；
管理后台,租赁订单管理,订单操作,订单备注：添加订单备注，同步至小程序订单详情。
管理后台,租赁订单管理,逾期管理,逾期订单列表：展示逾期订单、逾期天数、滞纳金金额；
管理后台,租赁订单管理,逾期管理,滞纳金计算：按配置规则（如日租 1.5 倍）自动计算，支持手动调整；
管理后台,租赁订单管理,逾期管理,催收提醒：手动发送短信 / 小程序消息提醒用户归还。
管理后台,维修订单管理,订单列表,展示所有维修订单，筛选条件：订单号、用户手机号、订单状态、预约时间；
管理后台,维修订单管理,订单列表,订单信息：订单号、用户信息、乐器信息、服务类型、故障描述、预约时间、报价金额；
管理后台,维修订单管理,订单列表,批量操作：批量导出、批量接单、批量取消。
管理后台,维修订单管理,订单操作,待接单：接单（分配维修人员）、拒绝接单（填写理由）；
管理后台,维修订单管理,订单操作,待取琴：确认取琴（记录取琴时间、取琴人）；
管理后台,维修订单管理,订单操作,维修中：更新维修进度、提交报价（填写明细）；
管理后台,维修订单管理,订单操作,待报价：用户确认后，标记为待支付；
管理后台,维修订单管理,订单操作,待支付：提醒支付、取消订单；
管理后台,维修订单管理,订单操作,维修完成：确认完工（记录完工时间）、安排归还（上门 / 到店）；
管理后台,维修订单管理,订单操作,订单备注：添加维修说明，同步至小程序。
管理后台,维修订单管理,维修套餐管理,新增 / 编辑 / 删除维修 / 保养套餐，设置套餐名称、价格、服务内容、适用乐器；
管理后台,维修订单管理,维修套餐管理,套餐上下架：下架后小程序不展示；
管理后台,维修订单管理,维修套餐管理,报价模板：预设常见故障的报价模板，快速生成报价。
管理后台,维修订单管理,维修套餐管理,维修技师，调律师管理：上传/编辑 技师调律师信息，根据订单地址等匹配规则，可自动/手动派单
管理后台,商家入驻,审核列表,展示所有入驻申请，筛选条件：申请编号、商家名称、商家类型、申请时间、审核状态；展示核心信息：商家名称、联系人、联系电话、申请类型、提交时间、审核进度。
管理后台,商家入驻,审核操作,查看详情：点击查看商家提交的所有信息、资质材料（可放大查看）；• 审核通过：设置商家等级（默认普通商家）、佣金比例（可自定义，如租金的10%、维修费的8%）、押金金额（可选，用于保障服务质量），确认后提交，系统自动生成商家后台账号密码，同步推送至商家；• 审核驳回：填写驳回原因（可选择预设原因，如资质不符、信息不全，也可自定义），提交后商家可收到提醒并重新提交；• 批量操作：批量审核（仅支持批量驳回，需统一填写驳回原因）、批量导出申请列表。
管理后台,商家入驻,商家信息管理,商家列表：展示所有已入驻商家，筛选条件：商家ID、商家名称、商家类型、商家等级、经营状态（正常/暂停/禁用）；展示信息：商家名称、联系人、联系电话、主营类型、佣金比例、入驻时间、当前状态；
管理后台,商家入驻,商家信息管理,商家详情：查看商家完整信息（基础信息、资质材料、经营信息、账号信息），支持编辑商家信息（如佣金比例、商家等级、经营状态）；
管理后台,商家入驻,商家信息管理,商家状态管理：• 正常：商家可正常运营，管理自身乐器、订单；• 暂停：暂停商家运营权限（不可新增乐器、接单），但可处理已有的订单，用于违规警告后整改；• 禁用：彻底禁用商家所有权限，删除商家后台账号，用于严重违规（如虚假资质、欺诈用户），禁用前需结清所有订单和佣金；
管理后台,商家入驻,商家信息管理,资质更新：商家提交资质更新申请（如营业执照过期更换），平台方审核，审核通过后更新商家资质信息，记录更新日志。
管理后台,商家入驻,商家权限管理,角色分配：为入驻商家分配角色（商家管理员、订单操作员、财务员），不同角色拥有不同权限（如商家管理员可操作所有功能，订单操作员仅可管理订单）；
管理后台,商家入驻,商家权限管理,权限配置：平台方可自定义商家后台的功能权限（如是否允许商家修改租金、是否允许商家自主退款），按商家等级分配不同权限（如VIP商家可拥有更多自主配置权限）；
管理后台,商家入驻,商家权限管理,账号管理：重置商家后台登录密码、禁用商家账号（临时冻结）、解绑手机号，操作后同步通知商家。
管理后台,商家入驻,佣金与结算管理,佣金规则设置：• 全局佣金：设置所有商家统一的佣金比例（可按业务类型区分，租赁/维修）；• 个性化佣金：为单个商家设置不同的佣金比例（如优质商家佣金减免）；• 佣金结算周期：设置结算周期（周结/月结），明确结算日期（如每月10号结算上月佣金）。
管理后台,商家入驻,佣金与结算管理,佣金明细：展示每个商家的佣金明细，包括订单号、业务类型、订单金额、佣金比例、佣金金额、结算状态（未结算/已结算/异常）、结算时间，支持按商家、时间、结算状态筛选，导出明细。
管理后台,商家入驻,佣金与结算管理,结算操作：• 自动结算：到结算周期后，系统自动计算商家应结佣金，扣除违规罚款（如有），生成结算单；• 手动结算：针对特殊情况（如商家申请提前结算），平台方可手动发起结算，填写结算金额、结算备注；• 结算审核：结算单生成后，平台方审核，审核通过后发起打款（对接微信支付/对公账户打款），记录打款信息；• 异常处理：针对订单退款、违规等导致的佣金异常，平台方可调整佣金金额，标注异常原因，重新结算。
管理后台,商家入驻,佣金与结算管理,押金管理：• 押金收取：入驻时按商家类型、规模收取押金，记录押金金额、缴纳时间、缴纳方式；• 押金退还：商家注销且无违规、无未结清订单时，平台方审核后退还押金（原路退回）；• 押金扣除：商家违规（如服务质量不达标、欺诈用户），平台方可扣除部分或全部押金，标注扣除原因，同步通知商家。
管理后台,用户管理,用户列表,展示所有用户，筛选条件：手机号、注册时间、会员等级（可选）；
管理后台,用户管理,用户列表,用户信息：头像、昵称、手机号、注册时间、订单数、未退还押金；
管理后台,用户管理,用户列表,操作：查看用户详情（订单、地址、押金）、禁用用户（禁用后无法登录）、发送消息。
管理后台,用户管理,地址管理,查看用户保存的地址，支持手动修改 / 删除（仅管理员）。
管理后台,用户管理,会员管理,会员等级：普通、VIP、超级 VIP，设置等级权益（押金减免、租金折扣）；
管理后台,用户管理,会员管理,会员充值：支持用户充值（可选），记录充值明细。
管理后台,财务&数据管理,押金管理,押金列表：展示未退还 / 已退还押金，关联订单、用户、金额；
管理后台,财务&数据管理,押金管理,退款操作：审核用户押金退还申请，发起退款（对接微信支付退款接口）；
管理后台,财务&数据管理,押金管理,退款记录：记录退款金额、时间、状态、交易单号。
管理后台,财务&数据管理,订单导出,支持按时间、订单类型、状态导出订单（Excel 格式）；
管理后台,财务&数据管理,订单导出,导出字段：订单号、用户信息、金额、支付时间、状态等（可自定义）。
管理后台,财务&数据管理,数据统计,经营概览：今日 / 昨日 / 本月订单数、交易额（租金 + 维修费）、押金总额、退款金额；
管理后台,财务&数据管理,数据统计,租赁统计：按乐器类型、租期、时间段统计租赁订单数 / 金额；
管理后台,财务&数据管理,数据统计,维修统计：按服务类型、乐器类型、时间段统计维修订单数 / 金额；
管理后台,财务&数据管理,数据统计,用户统计：新增用户数、活跃用户数、复购率；
管理后台,系统配置,首页配置,轮播图：上传轮播图片，设置跳转链接（乐器详情 / 活动页）、排序、是否显示；
管理后台,系统配置,首页配置,推荐乐器：手动设置首页推荐的乐器，排序。
管理后台,系统配置,公告管理,新增 / 编辑 / 删除公告，设置标题、内容、分类、发布时间、是否置顶；
管理后台,系统配置,公告管理,公告推送：发布后自动推送至小程序公告中心。
管理后台,系统配置,基础设置,支付设置：配置微信支付商户号、密钥，设置支付超时时间；
管理后台,系统配置,基础设置,费用设置：配置配送费、取琴费、滞纳金规则、押金规则；
管理后台,系统配置,基础设置,消息设置：配置小程序消息、短信的推送模板（如到期提醒、订单通知）；
管理后台,系统配置,基础设置,门店管理：新增 / 编辑门店地址、营业时间、联系电话，展示在小程序。
